experiment_id,source_image_id,provider,model,transform,parameters,iteration_count,verifier_before_status,verifier_before_detected,verifier_before_confidence,verifier_after_status,verifier_after_detected,verifier_after_confidence,verifier_raw_before,verifier_raw_after,ssim,psnr,width,height,file_size_bytes,runtime_ms,estimated_api_cost_usd,timestamp
11,synthetic_0,synthetic-mock,n/a,resize_1.5,"{""scale"": 1.5}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__resize_1.5.png""}",0.99919,41.673,384,384,4476,0.0,0.0,2026-08-15T19:16:27
12,synthetic_0,synthetic-mock,n/a,crop_0.1,"{""frac_removed"": 0.1}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__crop_0.1.png""}",0.99297,29.118,230,230,1621,2.0,0.0,2026-08-15T19:16:27
13,synthetic_0,synthetic-mock,n/a,crop_0.25,"{""frac_removed"": 0.25}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__crop_0.25.png""}",0.97704,21.467,192,192,1173,0.99,0.0,2026-08-15T19:16:27
14,synthetic_0,synthetic-mock,n/a,crop_0.5,"{""frac_removed"": 0.5}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__crop_0.5.png""}",0.94084,15.471,128,128,610,0.0,0.0,2026-08-15T19:16:27
15,synthetic_0,synthetic-mock,n/a,convert_png,"{""format"": ""PNG""}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__convert_png.png""}",1.0,100.0,256,256,1919,6.43,0.0,2026-08-15T19:16:27
16,synthetic_0,synthetic-mock,n/a,convert_jpeg,"{""format"": ""JPEG""}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__convert_jpeg.jpeg""}",0.9926,33.871,256,256,4284,5.17,0.0,2026-08-15T19:16:27
17,synthetic_0,synthetic-mock,n/a,convert_webp,"{""format"": ""WEBP""}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__convert_webp.webp""}",0.987,33.804,256,256,1710,49.72,0.0,2026-08-15T19:16:27
18,synthetic_0,synthetic-mock,n/a,chain_png_jpeg_webp,"{""chain"": [""PNG"", ""JPEG"", ""WEBP""]}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__chain_png_jpeg_webp.webp""}",0.98468,32.306,256,256,1710,24.32,0.0,2026-08-15T19:16:27
19,synthetic_0,synthetic-mock,n/a,bc_b1.1_c1.0,"{""brightness"": 1.1, ""contrast"": 1.0}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__bc_b1.1_c1.0.png""}",0.9934,25.845,256,256,2203,5.14,0.0,2026-08-15T19:16:27
20,synthetic_0,synthetic-mock,n/a,bc_b1.0_c1.1,"{""brightness"": 1.0, ""contrast"": 1.1}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__bc_b1.0_c1.1.png""}",0.99033,31.61,256,256,2262,3.61,0.0,2026-08-15T19:16:27
21,synthetic_0,synthetic-mock,n/a,bc_b0.9_c1.1,"{""brightness"": 0.9, ""contrast"": 1.1}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__bc_b0.9_c1.1.png""}",0.98151,25.639,256,256,2961,2.07,0.0,2026-08-15T19:16:27
22,synthetic_1,synthetic-mock,n/a,__baseline__,{},1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}",1.0,100.0,256,256,1932,0.0,0.0,2026-08-15T19:16:27
23,synthetic_1,synthetic-mock,n/a,screenshot_x1,"{""iterations"": 1}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__screenshot_x1.png""}",1.0,100.0,256,256,1932,0.0,0.0,2026-08-15T19:16:27
24,synthetic_1,synthetic-mock,n/a,screenshot_x2,"{""iterations"": 2}",2,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__screenshot_x2.png""}",1.0,100.0,256,256,1932,0.0,0.0,2026-08-15T19:16:27
25,synthetic_1,synthetic-mock,n/a,screenshot_x5,"{""iterations"": 5}",5,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__screenshot_x5.png""}",1.0,100.0,256,256,1932,13.13,0.0,2026-08-15T19:16:27
26,synthetic_1,synthetic-mock,n/a,screenshot_x10,"{""iterations"": 10}",10,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__screenshot_x10.png""}",1.0,100.0,256,256,1932,25.66,0.0,2026-08-15T19:16:27
27,synthetic_1,synthetic-mock,n/a,jpeg_q95,"{""quality"": 95}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__jpeg_q95.jpeg""}",0.99593,34.516,256,256,4564,1.0,0.0,2026-08-15T19:16:27
28,synthetic_1,synthetic-mock,n/a,jpeg_q85,"{""quality"": 85}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__jpeg_q85.jpeg""}",0.99268,33.589,256,256,4703,3.05,0.0,2026-08-15T19:16:27
29,synthetic_1,synthetic-mock,n/a,jpeg_q75,"{""quality"": 75}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__jpeg_q75.jpeg""}",0.99136,32.832,256,256,4600,0.67,0.0,2026-08-15T19:16:27
30,synthetic_1,synthetic-mock,n/a,jpeg_q50,"{""quality"": 50}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__jpeg_q50.jpeg""}",0.98452,31.279,256,256,4514,1.66,0.0,2026-08-15T19:16:27
31,synthetic_1,synthetic-mock,n/a,resize_0.75,"{""scale"": 0.75}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__resize_0.75.png""}",0.99831,38.502,192,192,1811,2.0,0.0,2026-08-15T19:16:27
32,synthetic_1,synthetic-mock,n/a,resize_0.5,"{""scale"": 0.5}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__resize_0.5.png""}",0.99409,35.236,128,128,883,1.91,0.0,2026-08-15T19:16:27
33,synthetic_1,synthetic-mock,n/a,resize_1.5,"{""scale"": 1.5}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__resize_1.5.png""}",0.99921,41.677,384,384,4587,0.0,0.0,2026-08-15T19:16:27
34,synthetic_1,synthetic-mock,n/a,crop_0.1,"{""frac_removed"": 0.1}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__crop_0.1.png""}",0.95746,21.073,230,230,1600,0.0,0.0,2026-08-15T19:16:27
35,synthetic_1,synthetic-mock,n/a,crop_0.25,"{""frac_removed"": 0.25}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__crop_0.25.png""}",0.9276,16.841,192,192,1171,0.0,0.0,2026-08-15T19:16:27
36,synthetic_1,synthetic-mock,n/a,crop_0.5,"{""frac_removed"": 0.5}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__crop_0.5.png""}",0.90088,12.403,128,128,626,0.97,0.0,2026-08-15T19:16:27
37,synthetic_1,synthetic-mock,n/a,convert_png,"{""format"": ""PNG""}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__convert_png.png""}",1.0,100.0,256,256,1932,4.57,0.0,2026-08-15T19:16:27
38,synthetic_1,synthetic-mock,n/a,convert_jpeg,"{""format"": ""JPEG""}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__convert_jpeg.jpeg""}",0.99136,32.832,256,256,4600,1.54,0.0,2026-08-15T19:16:27
39,synthetic_1,synthetic-mock,n/a,convert_webp,"{""format"": ""WEBP""}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__convert_webp.webp""}",0.98711,33.99,256,256,1912,10.53,0.0,2026-08-15T19:16:27
40,synthetic_1,synthetic-mock,n/a,chain_png_jpeg_webp,"{""chain"": [""PNG"", ""JPEG"", ""WEBP""]}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__chain_png_jpeg_webp.webp""}",0.98508,31.738,256,256,1826,20.82,0.0,2026-08-15T19:16:27
41,synthetic_1,synthetic-mock,n/a,bc_b1.1_c1.0,"{""brightness"": 1.1, ""contrast"": 1.0}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__bc_b1.1_c1.0.png""}",0.99337,25.845,256,256,2360,1.0,0.0,2026-08-15T19:16:27
42,synthetic_1,synthetic-mock,n/a,bc_b1.0_c1.1,"{""brightness"": 1.0, ""contrast"": 1.1}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__bc_b1.0_c1.1.png""}",0.99337,31.61,256,256,2367,0.0,0.0,2026-08-15T19:16:27
43,synthetic_1,synthetic-mock,n/a,bc_b0.9_c1.1,"{""brightness"": 0.9, ""contrast"": 1.1}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_1__bc_b0.9_c1.1.png""}",0.98484,25.639,256,256,3114,11.73,0.0,2026-08-15T19:16:27
